candidate_id,source_h3_cell,mode,minutes,accessible_population,accessible_demand,reachable_cells
C19,881ec93a15fffff,walk,10,2570,2742.793,1
C19,881ec93a15fffff,walk,15,19718,21345.886,7
C20,881ec9ce17fffff,drive,5,92408,101633.656,19
C20,881ec9ce17fffff,drive,10,286548,314159.65,61
C20,881ec9ce17fffff,drive,15,589564,645660.957,143
C20,881ec9ce17fffff,walk,5,4716,5123.471,1
C20,881ec9ce17fffff,walk,10,4716,5123.471,1
C20,881ec9ce17fffff,walk,15,33518,36585.543,7
C21,881ec98905fffff,drive,5,20904,22882.485,19
C21,881ec98905fffff,drive,10,112734,123939.608,91
C21,881ec98905fffff,drive,15,243691,268956.022,195
C21,881ec98905fffff,walk,5,1423,1590.836,1
C21,881ec98905fffff,walk,10,1423,1590.836,1
C21,881ec98905fffff,walk,15,8191,9008.124,7
C22,881ec9d9e3fffff,drive,5,3778,4182.038,19
C22,881ec9d9e3fffff,drive,10,19866,22072.957,84
C22,881ec9d9e3fffff,drive,15,42602,47337.079,173
C22,881ec9d9e3fffff,walk,5,85,92.328,1
C22,881ec9d9e3fffff,walk,10,85,92.328,1
C22,881ec9d9e3fffff,walk,15,1737,1930.1,7
C23,881ec988b5fffff,drive,5,69187,82455.86,19
C23,881ec988b5fffff,drive,10,243139,290413.093,70
C23,881ec988b5fffff,drive,15,523980,626364.954,155
C23,881ec988b5fffff,walk,5,3322,3896.635,1
C23,881ec988b5fffff,walk,10,3322,3896.635,1
C23,881ec988b5fffff,walk,15,24964,29747.397,7
C24,881ec9c49bfffff,drive,5,118859,136651.404,18
C24,881ec9c49bfffff,drive,10,396396,456183.29,60
C24,881ec9c49bfffff,drive,15,823788,949983.813,125
C24,881ec9c49bfffff,walk,5,6922,8125.124,1
C24,881ec9c49bfffff,walk,10,6922,8125.124,1
C24,881ec9c49bfffff,walk,15,46272,53141.744,7
